Title Name,Tareeeeek,Publisher,Date of Publication,Physical Description,Part of Series,Number in Series,ISBN,BL Record ID,,,
The Gambols,London,Beaverbrook Newspapers,1968,[96]p. of illus ,16x22cm.,,,085079000X (pbk),5579582,,
Sports cartoons,London,Daily Express,[1968],[96]p. of illus ,20x26cm.,,,0850790034 (pbk),5579583,,
The Gambols :cartoons selected from the 'Daily Express' and the 'Sunday Express',London,Beaverbrook Newspapers,1969,[96]p. of illus ,15x22cm.,,,0850790131 (pbk),5579586,,
"A selection of cartoons, from the London 'Evening Standard'",London,Beaverbrook Newspapers,1970,96p(of illus) ,16x22cm.,,,085079014X (pbk),5579587,,
'Sunday Express' & 'Daily Express' cartoons,London,Beaverbrook Newspapers,1975,"[128]p. :of ill., 1port. ;20x26cm.",,,,5580424,,,
The Perishers,"London (79 Camden Rd, N.W.1)",Daily Mirror Books,1971,[96]p. :of ill. ,14x22cm.,A 'Daily Mirror' book,,0600369803 (pbk),5590946,,
The Perishers,Zeyad,Daily Mirror Books,1972,[96]p. :of ill. ,15x22cm.,[A 'Daily Mirror' book],,0600370097 (pbk),5590948,,
Fosdyke saga ...,London,Wolfe Publishing,1973,[191]p. :of ill. ,13x22cm.,,,0723405298 (pbk),5592924,,
Fosdyke saga,London,Wolfe,1976,[160]p. :of ill. ,13x22cm.,,,0723406979 (pbk),5592932,,
The Gambols,London,Beaverbrook Newspapers,[1970],[100]p. of illus ,15x22cm.,,,0850790220 (pbk),5593189,,
'Sunday Express' and 'Daily Express' cartoons,London,Beaverbrook Newspapers,[1970],"[128]p(of illus, port) ;20x26cm.",,,0850790239 (pbk),5593190,,,
A selection of cartoons from the London 'Evening Standard',"London (Fleet St., E.C.4)",Beaverbrook Newspapers Ltd,1971,[96]p. :of ill. ,22cm.,,,0850790336 (pbk),5593192,,
The Gambols,London,Beaverbrook Newspapers,1971,[96]p. :of ill. ,15x22cm.,,,0850790352 (pbk),5593193,,
'Sunday Express' & 'Daily Express' cartoons,"London (Fleet St., E.C.4)",Beaverbrook Newspapers,[1971],"[128]p. :of ill., ports. ;20x26cm.",,,0850790387 (pbk),5593195,,,
A selection of cartoons from the London 'Evening Standard',London,Beaverbrook Newspapers Ltd,1972,[96]p. :of ill. ,16x22cm.,,,0850790433 (pbk),5593196,,
'Sunday Express' & 'Daily Express' cartoons,London,'Daily Express',[1972],"[126]p. :of ill., 1port. ;20x26cm.",,,0850790476 (pbk),5593197,,,
The Gambols,London,Beaverbrook Newspapers,[1972],[96]p. of ill ,15x21cm.,,,0850790492 (pbk),5593199,,
Cartoons from the London 'Evening Standard',London,Beaverbrook Newspapers,1973,[94]p. :of ill. ,16x22cm.,,,0850790522 (pbk),5593200,,
The Gambols,"London (Fleet St., E.C.4)",Beaverbrook Newspapers Ltd,[1973],96p. :of ill(some col) ,15x21cm.,,,0850790530 (pbk),5593201,,
The Gambols,London,Beaverbrook Newspapers,1974,[96]p. :of ill(some col) ,15x22cm.,,,0850790565 (pbk),5593203,,
'Sunday Express' & 'Daily Express' cartoons,"London (Fleet St., E.C.4)",Beaverbrook Newspapers Ltd,1973,"[128]p. :of ill., 1port. ;20x26cm.",,,0850790573 (pbk),5593204,,,
'Sunday Express' & 'Daily Express' cartoons,London,Beaverbrook Newspapers,1974,"[128]p. :of ill., 1port. ;20x26cm.",,,085079062X (pbk),5593206,,,
'Sunday Express' & 'Daily Express' cartoons,London,Beaverbrook Newspapers,1975,"[128]p. :of ill., 1port. ;20x26cm.",,,0850790697 (pbk),5593207,,,
The Gambols,London,Beaverbrook Newspapers,1975,[96]p. :of ill(some col) ,15x22cm.,,,0850790719 (pbk),5593208,,
Cartoons from the London 'Evening Standard',London,Beaverbrook Newspapers,1975,[96]p. :of ill. ,16x22cm.,,,0850790727 (pbk),5593209,,
'Sunday Express' & 'Daily Express' cartoons,London,Beaverbrook Newspapers,1976,"[128]p. :of ill., 1port. ;20x26cm.",,,0850790778 (pbk),5593210,,,
Cartoons from the London 'Evening Standard',London,Beaverbrook Newspapers,1976,[96]p. :of ill. ,16x22cm.,,,0850790786 (pbk),5593211,,
The Gambols,London,Beaverbrook Newspapers,1976,[96]p. :of ill(some col) ,15x22cm.,,,0850790794 (pbk),5593212,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1972],[82]p. :of ill. ,12cm.,,,0851440525 (pbk),5593372,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1972],[81]p. :of ill(1 col) ,13cm.,,,0851440606 (pbk),5593373,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1973],[82]p. :of ill. ,13cm.,,,0851440673 (pbk),5593374,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1973],[90]p. :of ill(1 col) ,12cm.,,,0851440789 (pbk),5593375,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1974],[81]p. :of ill(1 col) ,12cm.,,,0851440908 (pbk),5593376,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1974],[80]p. :chiefly ill. ,13cm.,,,0851441017 (pbk),5593377,,
